stock_code,stock_name,stock_name_en,market,source_sector,source_industry,source_business_model,primary_peer_ticker,primary_peer_name,primary_peer_sector,primary_peer_industry,primary_peer_business_model,primary_peer_scale_bucket,similarity_score,confidence_score,confidence_level,financial_similarity_score,domain_match_level,financial_context,same_company_noise,matched_factors,headline,model_version,source
006060,화승인더스트리,화승인더스트리,KOSPI,Financials,Investment Holding Companies,Investment holding and portfolio management,BXC,Bluelinx Holdings,Financials,Investment Holding Companies,Investment holding and portfolio management,SMALL_CAP,0.711,0.711,MEDIUM,0.9994,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Investment Holding Companies. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 62.2% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7110.",화승인더스트리 Is South Korea's 'Bluelinx Holdings' — A Holding Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006070,기린,기린,KOSPI,General Listed Equity,Listed Operating Company,Operating company,SPGI.V,S&P Global . When-Issued,General Listed Equity,Listed Operating Company,Operating company,UNKNOWN,0.125,0.125,LOW,,generic_or_mismatch,not_available,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=UNKNOWN. | Model similarity: blended peer score 0.1250.",기린 Is South Korea's 'S&P Global . When-Issued' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006090,사조오양,사조오양,KOSPI,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",FLO,Flowers Foods,Consumer Staples,Food and Beverage,"Packaged food, beverage, and consumer staples",SMALL_CAP,0.8365,0.8365,HIGH,0.9999,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Staples. | Industry: both are mapped to Food and Beverage. | Business model: both are mapped to Packaged food, beverage, and consumer staples. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 44.2% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.8365.",사조오양 Is South Korea's 'Flowers Foods' — A Food And Beverage Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006110,삼아알미늄,삼아알미늄,KOSPI,Materials,Metals and Materials,"Metals, materials, and industrial inputs",CLW,Clearwater Paper,Materials,Metals and Materials,"Metals, materials, and industrial inputs",MICRO_CAP,0.7743,0.7743,HIGH,0.9992,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Materials. | Industry: both are mapped to Metals and Materials. | Business model: both are mapped to Metals, materials, and industrial inputs. | Scale: source=SMALL_CAP, peer=MICRO_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MICRO_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MICRO_CAP peer, around the top 70.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7743.",삼아알미늄 Is South Korea's 'Clearwater Paper' — A Materials Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006120,SK디스커버리,SK디스커버리,KOSPI,Energy,Energy Infrastructure,Industrial machinery and equipment manufacturing,MUR,Murphy Oil,Energy,Energy Infrastructure,Operating company,MID_CAP,0.6445,0.6445,MEDIUM,0.9993,industry,us_market_relative_proxy,False,"Sector: both are mapped to Energy. | Industry: both are mapped to Energy Infrastructure. | Business model: source=Industrial machinery and equipment manufacturing, peer=Operating company. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 28.1% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6445.",SK디스커버리 Is South Korea's 'Murphy Oil' — A Energy Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006140,피제이전자,피제이전자,KOSPI,Health Care,Biotechnology,Semiconductor manufacturing or supply chain,EBS,Emergent BioSolutions,Health Care,Biotechnology,Operating company,SMALL_CAP,0.5384,0.5384,MEDIUM,0.9999,industry,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: source=Semiconductor manufacturing or supply chain, peer=Operating company. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 63.9% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.5384.",피제이전자 Is South Korea's 'Emergent BioSolutions' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006150,한메엔에스,한메엔에스,KOSPI,General Listed Equity,Listed Operating Company,Operating company,SPGI.V,S&P Global . When-Issued,General Listed Equity,Listed Operating Company,Operating company,UNKNOWN,0.125,0.125,LOW,,generic_or_mismatch,not_available,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=UNKNOWN. | Model similarity: blended peer score 0.1250.",한메엔에스 Is South Korea's 'S&P Global . When-Issued' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006200,한국전자홀딩스,한국전자홀딩스,KOSPI,Information Technology,Semiconductors,Semiconductor manufacturing or supply chain,MEI,Methode Electronics,Information Technology,Semiconductors,Semiconductor manufacturing or supply chain,SMALL_CAP,0.593,0.593,MEDIUM,0.9995,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Information Technology. | Industry: both are mapped to Semiconductors. | Business model: both are mapped to Semiconductor manufacturing or supply chain. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 57.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.5930.",한국전자홀딩스 Is South Korea's 'Methode Electronics' — A Semiconductors Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006210,휴리프,휴리프,KOSPI,General Listed Equity,Listed Operating Company,Operating company,SPGI.V,S&P Global . When-Issued,General Listed Equity,Listed Operating Company,Operating company,UNKNOWN,0.125,0.125,LOW,,generic_or_mismatch,not_available,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=UNKNOWN. | Model similarity: blended peer score 0.1250.",휴리프 Is South Korea's 'S&P Global . When-Issued' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006220,제주은행,제주은행,KOSPI,Financials,Banks,"Banking, spread income, fees, and capital-market services",GBFH,GBank Financial Holdings,Financials,Banks,"Banking, spread income, fees, and capital-market services",SMALL_CAP,0.73,0.73,HIGH,0.8307,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Banks. | Business model: both are mapped to Banking, spread income, fees, and capital-market services. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.8307. | US peer-universe position: SMALL_CAP peer, around the top 63.5% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7300.",제주은행 Is South Korea's 'GBank Financial Holdings' — A Banking Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006250,극동전선,극동전선,KOSPI,Industrials,Electrical Equipment,Electrical equipment and components manufacturing,EMR,Emerson Electric,Industrials,Electrical Equipment,Electrical equipment and components manufacturing,LARGE_CAP,0.6766,0.6766,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Electrical Equipment. | Business model: both are mapped to Electrical equipment and components manufacturing. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Model similarity: blended peer score 0.6766.",극동전선 Is South Korea's 'Emerson Electric' — A Electrical Equipment Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006260,LS,LS,KOSPI,Industrials,Electrical Equipment,Electrical equipment and components manufacturing,LECO,"Lincoln Electric Holdings, . Common Shares",Industrials,Electrical Equipment,Electrical equipment and components manufacturing,LARGE_CAP,0.79,0.79,HIGH,0.9996,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Electrical Equipment. | Business model: both are mapped to Electrical equipment and components manufacturing. | Scale: source=MID_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MID_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 14.5% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7900.","LS Is South Korea's 'Lincoln Electric Holdings, . Common Shares' — A Electrical Equipment Peer",global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006280,녹십자,녹십자,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,SEM,Select Medical Holdings,Health Care,Biotechnology,Investment holding and portfolio management,MID_CAP,0.7337,0.7337,HIGH,0.7962,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.7962. | US peer-universe position: MID_CAP peer, around the top 41.0% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7337.",녹십자 Is South Korea's 'Select Medical Holdings' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006340,대원전선,대원전선,KOSPI,Industrials,Electrical Equipment,Electrical equipment and components manufacturing,HE,Hawaiian Electric Industries,Industrials,Electrical Equipment,Electrical equipment and components manufacturing,MID_CAP,0.7848,0.7848,HIGH,0.9992,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Electrical Equipment. | Business model: both are mapped to Electrical equipment and components manufacturing. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 39.2% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7848.",대원전선 Is South Korea's 'Hawaiian Electric Industries' — A Electrical Equipment Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006350,전북은행,전북은행,KOSPI,Financials,Banks,"Banking, spread income, fees, and capital-market services",USB,U.S. Bancorp,Financials,Banks,"Banking, spread income, fees, and capital-market services",LARGE_CAP,0.7545,0.7545,HIGH,0.6919,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Banks. | Business model: both are mapped to Banking, spread income, fees, and capital-market services. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.6919. | US peer-universe position: LARGE_CAP peer, around the top 3.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7545.",전북은행 Is South Korea's 'U.S. Bancorp' — A Banking Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006360,GS건설,GS건설,KOSPI,Information Technology,Software,Platform software and recurring services,HLIO,Helios Technologies,Information Technology,Software,Platform software and recurring services,MID_CAP,0.7312,0.7312,HIGH,0.9992,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Information Technology. | Industry: both are mapped to Software. | Business model: both are mapped to Platform software and recurring services. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 35.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7312.",GS건설 Is South Korea's 'Helios Technologies' — A Software Platform Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006370,대구백화점,대구백화점,KOSPI,Consumer Discretionary,Retail,Merchandising and commerce,NEGG,"Newegg Commerce, . Common Shares",Consumer Discretionary,Retail,Merchandising and commerce,SMALL_CAP,0.7496,0.7496,HIGH,0.9962,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Discretionary. | Industry: both are mapped to Retail. | Business model: both are mapped to Merchandising and commerce. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 66.9% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7496.","대구백화점 Is South Korea's 'Newegg Commerce, . Common Shares' — A Retail Peer",global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006380,카프로,카프로,KOSPI,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,DOW,Dow,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,LARGE_CAP,0.6877,0.6877,MEDIUM,0.9381,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Materials. | Industry: both are mapped to Specialty Chemicals. | Business model: both are mapped to Chemical and advanced materials manufacturing. | Scale: source=SMALL_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 11.9% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6877.",카프로 Is South Korea's 'Dow' — A Chemicals Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006390,한일현대시멘트,한일현대시멘트,KOSPI,Materials,Metals and Materials,"Metals, materials, and industrial inputs",EXP,Eagle Materials,Materials,Metals and Materials,"Metals, materials, and industrial inputs",MID_CAP,0.8188,0.8188,HIGH,0.9217,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Materials. | Industry: both are mapped to Metals and Materials. | Business model: both are mapped to Metals, materials, and industrial inputs. | Scale: source=UNKNOWN, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (UNKNOWN vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 22.8% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.8188.",한일현대시멘트 Is South Korea's 'Eagle Materials' — A Materials Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006400,삼성SDI,삼성SDI,KOSPI,Industrials,Battery and Energy Storage,Battery manufacturing and energy storage supply chain,TSLA,Tesla,Industrials,Battery and Energy Storage,Battery manufacturing and energy storage supply chain,MEGA_CAP,0.6906,0.6906,MEDIUM,0.582,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Battery and Energy Storage. | Business model: both are mapped to Battery manufacturing and energy storage supply chain. | Scale: source=LARGE_CAP, peer=MEGA_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.5820. | US peer-universe position: MEGA_CAP peer, around the top 0.2% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6906.",삼성SDI Is South Korea's 'Tesla' — A Battery Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006440,한일건설,한일건설,KOSPI,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",BLDR,Builders FirstSource,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",MID_CAP,0.5799,0.5799,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Construction and Engineering. | Business model: both are mapped to Construction, engineering, and infrastructure projects. | Scale: source=UNKNOWN, peer=MID_CAP. | Model similarity: blended peer score 0.5799.",한일건설 Is South Korea's 'Builders FirstSource' — A Construction Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006490,인스코비,인스코비,KOSPI,Communication Services,Telecommunications,Telecom network subscription services,OPTU,"Optimum Communications, . Class A",Communication Services,Telecommunications,Telecom network subscription services,SMALL_CAP,0.7664,0.7664,HIGH,0.8044,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Communication Services. | Industry: both are mapped to Telecommunications. | Business model: both are mapped to Telecom network subscription services. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.8044. | US peer-universe position: SMALL_CAP peer, around the top 56.2% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7664.","인스코비 Is South Korea's 'Optimum Communications, . Class A' — A Telecommunications Peer",global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006570,대림통상,대림통상,KOSPI,Industrials,Machinery and Industrial Equipment,Industrial machinery and equipment manufacturing,TITN,Titan Machinery,Industrials,Machinery and Industrial Equipment,Industrial machinery and equipment manufacturing,SMALL_CAP,0.6735,0.6735,MEDIUM,0.5508,industry_and_business_model,partial_direct_similarity,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Machinery and Industrial Equipment. | Business model: both are mapped to Industrial machinery and equipment manufacturing. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: partial direct similarity; the peer is used as a business-domain proxy with financial score 0.5508. | US peer-universe position: SMALL_CAP peer, around the top 62.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6735.",대림통상 Is South Korea's 'Titan Machinery' — A Industrial Machinery Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006580,대양제지공업,대양제지공업,KOSPI,Industrials,Machinery and Industrial Equipment,"Metals, materials, and industrial inputs",IBM,International Business Machines,Industrials,Machinery and Industrial Equipment,Industrial machinery and equipment manufacturing,MEGA_CAP,0.7026,0.7026,MEDIUM,0.5409,industry,us_market_relative_proxy,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Machinery and Industrial Equipment. | Business model: source=Metals, materials, and industrial inputs, peer=Industrial machinery and equipment manufacturing. | Scale: source=UNKNOWN, peer=MEGA_CAP. | Financial comparability: not a direct balance-sheet match; the peer is selected mainly for domain fit with financial score 0.5409. | US peer-universe position: MEGA_CAP peer, around the top 1.2% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7026.",대양제지공업 Is South Korea's 'International Business Machines' — A Industrial Machinery Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006600,동신제약,동신제약,KOSPI,Health Care,Biotechnology,Operating company,HCA,HCA Healthcare,Health Care,Biotechnology,Operating company,LARGE_CAP,0.3009,0.3009,LOW,,industry_and_business_model,not_available,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=LARGE_CAP. | Model similarity: blended peer score 0.3009.",동신제약 Is South Korea's 'HCA Healthcare' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006620,동구바이오제약,동구바이오제약,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,SEM,Select Medical Holdings,Health Care,Biotechnology,Investment holding and portfolio management,MID_CAP,0.6878,0.6878,MEDIUM,0.9995,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=MICRO_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 41.0% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6878.",동구바이오제약 Is South Korea's 'Select Medical Holdings' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006650,대한유화,대한유화,KOSPI,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,EMN,Eastman Chemical,Materials,Specialty Chemicals,Chemical and advanced materials manufacturing,MID_CAP,0.774,0.774,HIGH,0.9994,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Materials. | Industry: both are mapped to Specialty Chemicals. | Business model: both are mapped to Chemical and advanced materials manufacturing. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 21.5% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7740.",대한유화 Is South Korea's 'Eastman Chemical' — A Chemicals Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006660,삼성공조,삼성공조,KOSPI,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,GPI,Group 1 Automotive,Consumer Discretionary,Automobiles,Automobile manufacturing and mobility supply chain,MID_CAP,0.7003,0.7003,MEDIUM,0.9995,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Consumer Discretionary. | Industry: both are mapped to Automobiles. | Business model: both are mapped to Automobile manufacturing and mobility supply chain. | Scale: source=MICRO_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 33.1% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7003.",삼성공조 Is South Korea's 'Group 1 Automotive' — A Automotive Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006730,서부T&D,서부T&D,KOSPI,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",BLDR,Builders FirstSource,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",MID_CAP,0.7276,0.7276,HIGH,0.9993,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Construction and Engineering. | Business model: both are mapped to Construction, engineering, and infrastructure projects. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 19.0% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7276.",서부T&D Is South Korea's 'Builders FirstSource' — A Construction Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006740,블루산업개발,블루산업개발,KOSPI,Industrials,Construction and Engineering,"Metals, materials, and industrial inputs",MEC,Mayville Engineering,Industrials,Construction and Engineering,"Construction, engineering, and infrastructure projects",SMALL_CAP,0.4523,0.4523,MEDIUM,0.9968,industry,us_market_relative_proxy,False,"Sector: both are mapped to Industrials. | Industry: both are mapped to Construction and Engineering. | Business model: source=Metals, materials, and industrial inputs, peer=Construction, engineering, and infrastructure projects. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 56.1% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.4523.",블루산업개발 Is South Korea's 'Mayville Engineering' — A Construction Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006750,센추리,센추리,KOSPI,General Listed Equity,Listed Operating Company,Operating company,SPGI.V,S&P Global . When-Issued,General Listed Equity,Listed Operating Company,Operating company,UNKNOWN,0.125,0.125,LOW,,generic_or_mismatch,not_available,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=UNKNOWN. | Model similarity: blended peer score 0.1250.",센추리 Is South Korea's 'S&P Global . When-Issued' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
006800,미래에셋증권,미래에셋증권,KOSPI,Financials,Banks,"Banking, spread income, fees, and capital-market services",COLB,Columbia Banking System,Financials,Banks,"Banking, spread income, fees, and capital-market services",MID_CAP,0.7149,0.7149,MEDIUM,0.9386,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Banks. | Business model: both are mapped to Banking, spread income, fees, and capital-market services. | Scale: source=LARGE_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (LARGE_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 19.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7149.",미래에셋증권 Is South Korea's 'Columbia Banking System' — A Banking Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
