stock_code,stock_name,stock_name_en,market,source_sector,source_industry,source_business_model,primary_peer_ticker,primary_peer_name,primary_peer_sector,primary_peer_industry,primary_peer_business_model,primary_peer_scale_bucket,similarity_score,confidence_score,confidence_level,financial_similarity_score,domain_match_level,financial_context,same_company_noise,matched_factors,headline,model_version,source
082640,동양생명,동양생명,KOSPI,General Listed Equity,Listed Operating Company,Operating company,EFOR,Everforth,General Listed Equity,Listed Operating Company,Operating company,SMALL_CAP,0.2501,0.2501,LOW,0.9999,generic_or_mismatch,direct_financial_similarity,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: both are mapped to SMALL_CAP. | Financial comparability: direct market cap, revenue, and profitability similarity score 0.9999. | US peer-universe position: SMALL_CAP peer, around the top 55.8% by market cap among eligible US peers. | Model similarity: blended peer score 0.2501.",동양생명 Is South Korea's 'Everforth' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082660,코스나인,코스나인,KOSPI,General Listed Equity,Listed Operating Company,Operating company,AWRE,Aware,General Listed Equity,Listed Operating Company,Operating company,MICRO_CAP,0.1797,0.1797,LOW,0.9996,generic_or_mismatch,direct_financial_similarity,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: both are mapped to MICRO_CAP. | Financial comparability: direct market cap, revenue, and profitability similarity score 0.9996. | US peer-universe position: MICRO_CAP peer, around the top 89.4% by market cap among eligible US peers. | Model similarity: blended peer score 0.1797.",코스나인 Is South Korea's 'Aware' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082740,한화엔진,한화엔진,KOSPI,Information Technology,Software,Platform software and recurring services,AIT,Applied Industrial Technologies,Information Technology,Software,Platform software and recurring services,LARGE_CAP,0.7268,0.7268,HIGH,1.0,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Information Technology. | Industry: both are mapped to Software. | Business model: both are mapped to Platform software and recurring services. | Scale: source=MID_CAP, peer=LARGE_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MID_CAP vs LARGE_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: LARGE_CAP peer, around the top 16.3% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7268.",한화엔진 Is South Korea's 'Applied Industrial Technologies' — A Software Platform Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082800,비보존 제약,비보존 제약,KOSPI,Health Care,Biotechnology,Investment holding and portfolio management,OFIX,Orthofix Medical,Health Care,Biotechnology,Operating company,SMALL_CAP,0.5513,0.5513,MEDIUM,0.9995,industry,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: source=Investment holding and portfolio management, peer=Operating company. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 65.5% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.5513.",비보존 제약 Is South Korea's 'Orthofix Medical' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082850,우리바이오,우리바이오,KOSPI,Health Care,Biotechnology,Semiconductor manufacturing or supply chain,AKBA,Akebia Therapeutics,Health Care,Biotechnology,Operating company,SMALL_CAP,0.5009,0.5009,MEDIUM,0.9972,industry,us_market_relative_proxy,False,"Sector: both are mapped to Health Care. | Industry: both are mapped to Biotechnology. | Business model: source=Semiconductor manufacturing or supply chain, peer=Operating company. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 68.8% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.5009.",우리바이오 Is South Korea's 'Akebia Therapeutics' — A Biotech Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082920,비츠로셀,비츠로셀,KOSPI,Information Technology,Semiconductors,Battery manufacturing and energy storage supply chain,BHE,Benchmark Electronics,Information Technology,Semiconductors,Semiconductor manufacturing or supply chain,MID_CAP,0.6149,0.6149,MEDIUM,0.9994,industry,us_market_relative_proxy,False,"Sector: both are mapped to Information Technology. | Industry: both are mapped to Semiconductors. | Business model: source=Battery manufacturing and energy storage supply chain, peer=Semiconductor manufacturing or supply chain. | Scale: source=SMALL_CAP, peer=MID_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (SMALL_CAP vs MID_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: MID_CAP peer, around the top 33.7% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.6149.",비츠로셀 Is South Korea's 'Benchmark Electronics' — A Semiconductors Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
082930,실리콘화일,실리콘화일,KOSPI,General Listed Equity,Listed Operating Company,Operating company,SPGI.V,S&P Global . When-Issued,General Listed Equity,Listed Operating Company,Operating company,UNKNOWN,0.125,0.125,LOW,,generic_or_mismatch,not_available,False,"Sector: both are mapped to General Listed Equity. | Industry: both are mapped to Listed Operating Company. | Business model: both are mapped to Operating company. | Scale: source=UNKNOWN, peer=UNKNOWN. | Model similarity: blended peer score 0.1250.",실리콘화일 Is South Korea's 'S&P Global . When-Issued' — A General Listed Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
083120,동북아9호선박투자회사,동북아9호선박투자회사,KOSPI,Financials,Investment Holding Companies,Investment holding and portfolio management,INGM,Ingram Micro Holding,Financials,Investment Holding Companies,Investment holding and portfolio management,MID_CAP,0.4688,0.4688,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Financials. | Industry: both are mapped to Investment Holding Companies. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=UNKNOWN, peer=MID_CAP. | Model similarity: blended peer score 0.4688.",동북아9호선박투자회사 Is South Korea's 'Ingram Micro Holding' — A Holding Company Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
083160,현대경매부동산일호투자회사,현대경매부동산일호투자회사,KOSPI,Real Estate,Real Estate,Investment holding and portfolio management,GOOD,Gladstone Commercial Real Estate Investment Trust,Real Estate,Real Estate,Investment holding and portfolio management,SMALL_CAP,0.6392,0.6392,MEDIUM,,industry_and_business_model,not_available,False,"Sector: both are mapped to Real Estate. | Industry: both are mapped to Real Estate. | Business model: both are mapped to Investment holding and portfolio management. | Scale: source=UNKNOWN, peer=SMALL_CAP. | Model similarity: blended peer score 0.6392.",현대경매부동산일호투자회사 Is South Korea's 'Gladstone Commercial Real Estate Investment Trust' — A Real Estate Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
083310,엘오티베큠,엘오티베큠,KOSPI,Information Technology,Semiconductors,Semiconductor manufacturing or supply chain,MEI,Methode Electronics,Information Technology,Semiconductors,Semiconductor manufacturing or supply chain,SMALL_CAP,0.7096,0.7096,MEDIUM,0.9995,industry_and_business_model,us_market_relative_proxy,False,"Sector: both are mapped to Information Technology. | Industry: both are mapped to Semiconductors. | Business model: both are mapped to Semiconductor manufacturing or supply chain. | Scale: source=MICRO_CAP, peer=SMALL_CAP. | Financial comparability: strong financial-vector similarity, but scale differs (MICRO_CAP vs SMALL_CAP); use as a US-market proxy rather than a strict size match. | US peer-universe position: SMALL_CAP peer, around the top 57.6% among eligible US peers; size is interpreted as relative US-market positioning rather than a strict Korean-size match. | Model similarity: blended peer score 0.7096.",엘오티베큠 Is South Korea's 'Methode Electronics' — A Semiconductors Peer,global-peer-hybrid-ranker-20260630040616,HANNAH_GLOBAL_PEER_HYBRID_RANKER
